84050,HOLLYWOOD,FL,-80.1341,26.0281,9
92809,HOLLYWOOD NORTH PERRY AP,FL,-80.24111,25.99889,9
12849,FORT LAUDERDALE INTERNATIONAL AIRPORT,FL,-80.16217,26.07875,11
83171,FORT LAUDERDALE EXPERIMENT STN,FL,-80.25,26.08333,10
82114,DANIA 4 WNW,FL,-80.2,26.06667,10
83167,FORT LAUDERDALE WWIL,FL,-80.23333,26.08333,10
82140,DAVIE,FL,-80.21667,26.05,10
83168,FORT LAUDERDALE BEACH,FL,-80.1061,26.1408,4
86078,NAPLES,FL,-81.6843,26.1653,40
83173,FORT LAUDERDALE WFTL,FL,-80.11667,26.16667,10
12830,NAPLES AAF,FL,-81.76667,26.15,
12897,NAPLES MUNICIPAL AIRPORT,FL,-81.7752,26.155,9
85719,MILES CITY TOWER,FL,-81.35,26.18333,151
12885,FORT LAUDERDALE EXECUTIVE AP,FL,-80.17083,26.19694,14
87256,POMPANO BEACH WLOD,FL,-80.16667,26.23333,10
87254,POMPANO BEACH,FL,-80.14056,26.23333,15
X42,NAPLES GOLDEN GATE AP,FL,-81.7,26.2,12
92805,POMPANO BEACH AIRPARK,FL,-80.10833,26.25,21
88671,SUNNILAND,FL,-81.35,26.26667,10
86323,NORTH NEW RVR CANAL 2,FL,-80.5373,26.3354,16
80739,BIG CYPRESS INDIAN RESERVATION,FL,-81,26.31667,16
80887,BONITA SPRINGS 2 MI ESE,FL,-81.75,26.33333,10
12803,BOCA RATON AIRPORT,FL,-80.1075,26.37833,13
80845,BOCA RATON,FL,-80.1107,26.3676,30
84866,LAKE TRAFFORD,FL,-81.48333,26.43333,30
84210,IMMOKALEE,FL,-81.44056,26.46222,35
87403,PUNTA RASSA,FL,-82.01667,26.48333,
80928,BOYNTON BEACH,FL,-80.06667,26.53333,
82923,FELDA,FL,-81.43333,26.53333,39
81310,CAPTIVA,FL,-82.18333,26.53333,
84198,HYPOLUXO,FL,-80.05,26.55,10
86318,NORTH NEW RIVER CANAL 1,FL,-80.75,26.56667,20
82298,DEVILS GARDEN,FL,-81.08998,26.66388,26
83181,FORT MYERS WATER PLANT,FL,-81.85,26.61667,
12844,WEST PALM BEACH INTERNATIONAL AP,FL,-80.0994,26.6847,19
12870,BELLE GLADE,FL,-80.65,26.65,
85182,LOXAHATCHEE,FL,-80.26667,26.68333,14
12865,PALM BEACH AFB,FL,-80.05,26.71667,
89521,WEST PALM BEACH RADIO WJN,FL,-80.05,26.73333,8
89520,WEST PALM BEACH,FL,-80.05,26.71667,20
80616,BELLE GLADE HRCN GT 4,FL,-80.71667,26.7,31
X81,LAKE WORTH RIVIERA,FL,-80.05,26.76667,
81654,CLEWISTON,FL,-80.94,26.74222,20
86657,ORTONA LOCK 2,FL,-81.3044,26.7897,20
KQZG,SARASOTA RANGE GWC,FL,-83.75,26.75,
84667,LA BELLE 2 NW,FL,-81.45,26.76667,16
85895,MOORE HAVEN LOCK 1,FL,-81.0872,26.84,35
85892,MOORE HAVEN,FL,-81.1,26.83333,
81276,CANAL POINT USDA,FL,-80.6256,26.8639,30
81271,CANAL POINT GATE 5,FL,-80.63333,26.86667,39
12812,PUNTA GORDA CHARLOTTE COUNTY AP,FL,-81.99139,26.91722,25
87395,PUNTA GORDA,FL,-82.05,26.93333,10
87397,PUNTA GORDA 4 ESE,FL,-81.99682,26.91463,20
12893,JUPITER,FL,-80.11667,26.95,
87293,PORT MAYACA S L CANAL,FL,-80.61667,26.98333,39
X80,JUPITER INLET LORAN,FL,-80.11667,27.03333,
84262,INDIANTOWN,FL,-80.46667,27.01667,30
89184,VENUS,FL,-81.3509,27.1819,140
87859,ST LUCIE NEW LOCK 1,FL,-80.28333,27.11667,21
12825,VENICE AAF,FL,-82.43333,27.08333,
X90,VENICE LORAN,FL,-82.45,27.08333,
89176,VENICE,FL,-82.4364,27.1006,8
88146,SEWALLS POINT,FL,-80.2,27.18333,20
80236,ARCHBOLD BIO STATION,FL,-81.3508,27.1819,140
12869,ARCADIA,FL,-81.76667,27.18333,
88627,STUART 2,FL,-80.25,27.2,
86485,OKEECHOBEE,FL,-80.86528,27.15083,18
86480,OKEECHOBEE 9 W,FL,-80.96667,27.23333,20
86065,MYAKKA RIVER ST PK,FL,-82.3161,27.2417,20
88620,STUART,FL,-80.2397,27.1897,13
